analysis,load,tau_ms,cv,pairs,mean_delta_pp,p_value,holm_p_value,holm_significant,direction
robustness_only,1.0,0.0,1.0,30,-0.1865256499228882,0.026364467506672457,0.7909340252001738,False,negative
robustness_only,1.0,10.0,0.0,30,-0.06989911173139376,0.09750563917508823,1.0,False,negative
robustness_only,1.0,10.0,0.5,30,-0.0722084415351541,0.18669290484584966,1.0,False,negative
robustness_only,1.0,10.0,1.0,30,-0.154687642514961,0.09817561653734888,1.0,False,negative
robustness_only,1.0,50.0,0.0,30,-0.06989911173139376,0.09750563917508823,1.0,False,negative
robustness_only,1.0,50.0,0.5,30,-0.0722084415351541,0.18669290484584966,1.0,False,negative
robustness_only,1.0,50.0,1.0,30,-0.14175385642143823,0.13320246965569152,1.0,False,negative
robustness_only,1.2,0.0,0.0,30,-0.07681880822092163,0.07105674664224583,1.0,False,negative
robustness_only,1.2,0.0,0.5,30,0.06961620275399506,0.36894790780494496,1.0,False,positive
robustness_only,1.2,0.0,1.0,30,-0.04595744657295076,0.6647156186995689,1.0,False,negative
robustness_only,1.2,10.0,0.0,30,-0.07681880822092163,0.07105674664224583,1.0,False,negative
robustness_only,1.2,10.0,0.5,30,0.07517175830955031,0.33786465292462625,1.0,False,positive
robustness_only,1.2,10.0,1.0,30,-0.03910584857764026,0.6853348895929617,1.0,False,negative
robustness_only,1.2,50.0,0.0,30,-0.07681880822092163,0.07105674664224583,1.0,False,negative
robustness_only,1.2,50.0,0.5,30,0.07517175830955031,0.33786465292462625,1.0,False,positive
robustness_only,1.2,50.0,1.0,30,-0.10202014670642777,0.3062172275832096,1.0,False,negative
secondary_pooled,0.2,0.0,0.0,45,-0.023640661938534258,0.32277847875430965,1.0,False,negative
secondary_pooled,0.2,0.0,0.5,45,-0.09868841792496047,0.08566257635060648,1.0,False,negative
secondary_pooled,0.2,0.0,1.0,45,-0.16534725089494423,0.012230146370659745,0.2935235128958339,False,negative
secondary_pooled,0.2,10.0,0.0,45,-0.023640661938534258,0.32277847875430965,1.0,False,negative
secondary_pooled,0.2,10.0,0.5,45,-0.09868841792496047,0.08566257635060648,1.0,False,negative
secondary_pooled,0.2,10.0,1.0,45,-0.18734945111496648,0.006634618089284428,0.18576930649996398,False,negative
secondary_pooled,0.2,50.0,0.0,45,-0.023640661938534258,0.32277847875430965,1.0,False,negative
secondary_pooled,0.2,50.0,0.5,45,-0.09868841792496047,0.08566257635060648,1.0,False,negative
secondary_pooled,0.2,50.0,1.0,45,-0.20484726388836963,0.0037557015610181614,0.10891534526952668,False,negative
secondary_pooled,0.4,0.0,0.0,45,-0.07819328498354644,0.019455790069545228,0.35822238244045224,False,negative
secondary_pooled,0.4,0.0,0.5,45,-0.15779224710576234,0.008928356301068745,0.2410656201288561,False,negative
secondary_pooled,0.4,0.0,1.0,45,-0.343552326830842,3.60592519715282e-06,0.00015505478347757124,True,negative
secondary_pooled,0.4,10.0,0.0,45,-0.07819328498354644,0.019455790069545228,0.35822238244045224,False,negative
