load,tau_ms,cv,baseline,pairs,mean_delta_pp,ci95_low_pp,ci95_high_pp,p_value,holm_p_value_global_162
1.0,50.0,0.5,DA-BALS-Adaptive,30,1.4178635747387414,1.1652672224235423,1.6704599270539404,2.6361544898987882e-12,3.1633853878785457e-10
1.0,50.0,1.0,DA-BALS-NoMargin,30,-0.14175385642143823,-0.3294099988941219,0.04590228605124547,0.13320246965569152,1.0
1.0,50.0,1.0,DA-BALS-FixedMargin,30,1.7898138815446099,1.479510709420858,2.1001170536683618,1.3704429700062606e-12,1.6582359937075754e-10
1.0,50.0,1.0,DA-BALS-Adaptive,30,6.2859475131138804,4.000699635689582,8.571195390538179,4.466961012871511e-06,0.0002948194268495197
1.2,0.0,0.0,DA-BALS-NoMargin,30,-0.07681880822092163,-0.1606624963807628,0.007024879938919537,0.07105674664224583,1.0
1.2,0.0,0.0,DA-BALS-FixedMargin,30,2.3215742752787203,2.0804612422914635,2.562687308265977,2.4970842555705844e-18,3.895451438690112e-16
1.2,0.0,0.0,DA-BALS-Adaptive,30,0.5790677330224592,0.39500618825182054,0.7631292777930978,4.872644289576384e-07,3.751936102973816e-05
1.2,0.0,0.5,DA-BALS-NoMargin,30,0.06961620275399506,-0.08639095689224728,0.2256233624002374,0.36894790780494496,1.0
1.2,0.0,0.5,DA-BALS-FixedMargin,30,1.60719426447772,1.3427374266423786,1.8716511023130613,3.837222831134421e-13,4.796528538918026e-11
1.2,0.0,0.5,DA-BALS-Adaptive,30,0.8806370174127234,0.5666350717654518,1.194638963059995,3.29414750131594e-06,0.000220707882588168
1.2,0.0,1.0,DA-BALS-NoMargin,30,-0.04595744657295076,-0.26061206816829957,0.16869717502239803,0.6647156186995689,1.0
1.2,0.0,1.0,DA-BALS-FixedMargin,30,1.106315282011444,0.8083395672201734,1.4042909968027144,2.26473331000421e-08,2.1062019783039155e-06
