load,tau_ms,cv,baseline,pairs,mean_delta_pp,ci95_low_pp,ci95_high_pp,p_value,holm_p_value_global_162
0.4,50.0,0.0,DA-BALS-FixedMargin,30,4.158454525561465,3.682556341101902,4.634352710021028,3.384098749012677e-17,4.974625161048635e-15
0.4,50.0,0.0,DA-BALS-Adaptive,30,0.9632189684114701,0.66565640470684,1.2607815321161002,2.948734506310972e-07,2.3589876050487775e-05
0.4,50.0,0.5,DA-BALS-NoMargin,30,-0.12381455229485804,-0.2734459867291945,0.025816882139478428,0.10129765541139021,1.0
0.4,50.0,0.5,DA-BALS-FixedMargin,30,3.568463474548524,3.110637263737282,4.026289685359766,6.918170982586276e-16,9.685439375620787e-14
0.4,50.0,0.5,DA-BALS-Adaptive,30,1.8498671385965244,1.295628549340219,2.40410572785283,1.698463025909526e-07,1.3927396812458113e-05
0.4,50.0,1.0,DA-BALS-NoMargin,30,-0.3567702510209704,-0.5217079207752101,-0.19183258126673067,0.00012525598941153112,0.00676382342822268
0.4,50.0,1.0,DA-BALS-FixedMargin,30,2.959786499732046,2.4677686876594747,3.4518043118046178,4.929010320405548e-13,6.11197279730288e-11
0.4,50.0,1.0,DA-BALS-Adaptive,30,6.903188408045868,4.092236800410506,9.714140015681231,2.38142111987483e-05,0.0014288526719248979
0.6,0.0,0.0,DA-BALS-NoMargin,30,-0.11785603481919082,-0.21048734193970928,-0.025224727698672372,0.014440472216587992,0.47653558314740374
0.6,0.0,0.0,DA-BALS-FixedMargin,30,4.656751256862309,4.212205649673358,5.10129686405126,2.523695602760114e-19,4.0126760083885813e-17
0.6,0.0,0.0,DA-BALS-Adaptive,30,1.074160251034303,0.8538535260558758,1.29446697601273,7.032662003341715e-11,7.3842951035088e-09
0.6,0.0,0.5,DA-BALS-NoMargin,30,-0.2555127219015257,-0.3870859913084358,-0.12393945249461555,0.00043188478954706884,0.017707276371429822
0.6,0.0,0.5,DA-BALS-FixedMargin,30,3.857523348701588,3.383460704139988,4.331585993263189,2.2368224811638683e-16,3.2210243728759703e-14
0.6,0.0,0.5,DA-BALS-Adaptive,30,1.9571730942336947,1.5321233353487054,2.382222853118684,2.53006556268525e-10,2.5300655626852498e-08
0.6,0.0,1.0,DA-BALS-NoMargin,30,-0.43922212782939357,-0.6631387785759616,-0.21530547708282552,0.00038743829236487616,0.017047284864054553
0.6,0.0,1.0,DA-BALS-FixedMargin,30,3.34862113918995,2.880288605974566,3.816953672405334,6.458355092188655e-15,8.654195823532797e-13
0.6,0.0,1.0,DA-BALS-Adaptive,30,4.902547798320268,3.435713051020632,6.369382545619904,1.656434789933728e-07,1.3748408756449942e-05
0.6,10.0,0.0,DA-BALS-NoMargin,30,-0.11785603481919082,-0.21048734193970928,-0.025224727698672372,0.014440472216587992,0.47653558314740374
0.6,10.0,0.0,DA-BALS-FixedMargin,30,4.656751256862309,4.212205649673358,5.10129686405126,2.523695602760114e-19,4.0126760083885813e-17
0.6,10.0,0.0,DA-BALS-Adaptive,30,1.074160251034303,0.8538535260558758,1.29446697601273,7.032662003341715e-11,7.3842951035088e-09
0.6,10.0,0.5,DA-BALS-NoMargin,30,-0.26772273411153785,-0.403093973916686,-0.13235149430638968,0.0003541572993966232,0.016291235772244665
0.6,10.0,0.5,DA-BALS-FixedMargin,30,3.845313336491576,3.3712311343821666,4.319395538600985,2.4342074355544095e-16,3.4809166328428055e-14
0.6,10.0,0.5,DA-BALS-Adaptive,30,2.0247314302936377,1.5893809715507845,2.460081889036491,2.028154760022329e-10,2.0687178552227755e-08
0.6,10.0,1.0,DA-BALS-NoMargin,30,-0.47393262527102376,-0.7063203329247552,-0.24154491761729235,0.0002509674013150035,0.01204643526312017
0.6,10.0,1.0,DA-BALS-FixedMargin,30,3.2595448416423873,2.798657393311201,3.720432289973574,8.546427327683338e-15,1.136674834581884e-12
0.6,10.0,1.0,DA-BALS-Adaptive,30,5.150975296088192,3.6651317899414764,6.636818802234908,8.428619209330118e-08,7.248612520023902e-06
0.6,50.0,0.0,DA-BALS-NoMargin,30,-0.11785603481919082,-0.21048734193970928,-0.025224727698672372,0.014440472216587992,0.47653558314740374
0.6,50.0,0.0,DA-BALS-FixedMargin,30,4.656751256862309,4.212205649673358,5.10129686405126,2.523695602760114e-19,4.0126760083885813e-17
0.6,50.0,0.0,DA-BALS-Adaptive,30,1.074160251034303,0.8538535260558758,1.29446697601273,7.032662003341715e-11,7.3842951035088e-09
0.6,50.0,0.5,DA-BALS-NoMargin,30,-0.26772273411153785,-0.403093973916686,-0.13235149430638968,0.0003541572993966232,0.016291235772244665
0.6,50.0,0.5,DA-BALS-FixedMargin,30,3.845313336491576,3.3712311343821666,4.319395538600985,2.4342074355544095e-16,3.4809166328428055e-14
0.6,50.0,0.5,DA-BALS-Adaptive,30,2.0247314302936377,1.5893809715507845,2.460081889036491,2.028154760022329e-10,2.0687178552227755e-08
0.6,50.0,1.0,DA-BALS-NoMargin,30,-0.48591483874577457,-0.7448769506358384,-0.22695272685571077,0.0006205520464713362,0.02482208185885345
0.6,50.0,1.0,DA-BALS-FixedMargin,30,3.236186557414538,2.7849088047088784,3.687464310120198,5.988727323310685e-15,8.084781886469424e-13
0.6,50.0,1.0,DA-BALS-Adaptive,30,5.391853528146456,3.9440957031040154,6.8396113531888965,2.131308669130379e-08,2.0034301489825564e-06
0.8,0.0,0.0,DA-BALS-NoMargin,30,-0.15244888090426228,-0.22597009974707,-0.07892766206145459,0.00020728342763028467,0.010571454809144518
0.8,0.0,0.0,DA-BALS-FixedMargin,30,3.905950033591416,3.477430384887044,4.334469682295788,1.0936200762037516e-17,1.651366315067665e-15
0.8,0.0,0.0,DA-BALS-Adaptive,30,1.0027283026388658,0.7523840960850039,1.2530725091927277,4.94157448803067e-09,4.892158743150363e-07
0.8,0.0,0.5,DA-BALS-NoMargin,30,-0.1999958214998429,-0.3256087601879827,-0.07438288281170316,0.0028724563605983604,0.11202579806333246
0.8,0.0,0.5,DA-BALS-FixedMargin,30,3.0127087005438464,2.6303675117339878,3.395049889353705,5.204847823769151e-16,7.338835431514503e-14
0.8,0.0,0.5,DA-BALS-Adaptive,30,1.6842329969052334,1.3573169214944028,2.011149072316064,1.9890516458851664e-11,2.128285261097128e-09
0.8,0.0,1.0,DA-BALS-NoMargin,30,-0.3968749011683807,-0.5940421583352782,-0.1997076440014832,0.00029106915197956053,0.013680250143039346
0.8,0.0,1.0,DA-BALS-FixedMargin,30,2.6358857755190135,2.23683170756388,3.034939843474147,4.835639362205567e-14,6.286331170867237e-12
0.8,0.0,1.0,DA-BALS-Adaptive,30,5.285157107403067,3.447596549736468,7.122717665069666,2.200000364188203e-06,0.0001496000247647978
0.8,10.0,0.0,DA-BALS-NoMargin,30,-0.14423870028028887,-0.21816456905903492,-0.07031283150154284,0.0004105150047043914,0.01765214520228883
