seed,load,tau_ms,cv,policy,requests,on_time_fraction_pct,late_fraction_pct,shed_fraction_pct,normalized_network_waste
200,0.8,0.0,1.0,DA-BALS-Stabilized,422,80.09478672985783,3.3175355450236967,16.587677725118482,0.0
200,0.8,10.0,0.0,DA-BALS-NoMargin,422,83.41232227488152,0.23696682464454977,16.350710900473935,0.0
200,0.8,10.0,0.0,DA-BALS-FixedMargin,422,78.67298578199052,0.0,21.32701421800948,0.0
200,0.8,10.0,0.0,DA-BALS-Adaptive,422,82.46445497630332,0.23696682464454977,17.298578199052134,0.0
200,0.8,10.0,0.0,DA-BALS-Stabilized,422,83.41232227488152,0.23696682464454977,16.350710900473935,0.0
200,0.8,10.0,0.5,DA-BALS-NoMargin,422,82.70142180094787,0.9478672985781991,16.350710900473935,0.0
200,0.8,10.0,0.5,DA-BALS-FixedMargin,422,78.19905213270142,0.47393364928909953,21.32701421800948,0.0
200,0.8,10.0,0.5,DA-BALS-Adaptive,422,80.56872037914692,0.47393364928909953,18.95734597156398,0.0
200,0.8,10.0,0.5,DA-BALS-Stabilized,422,82.70142180094787,0.9478672985781991,16.350710900473935,0.0
200,0.8,10.0,1.0,DA-BALS-NoMargin,422,80.33175355450237,3.3175355450236967,16.350710900473935,0.0
200,0.8,10.0,1.0,DA-BALS-FixedMargin,422,76.06635071090048,2.3696682464454977,21.563981042654028,0.0
200,0.8,10.0,1.0,DA-BALS-Adaptive,422,74.40758293838863,1.6587677725118484,23.933649289099527,0.0
200,0.8,10.0,1.0,DA-BALS-Stabilized,422,79.85781990521326,3.3175355450236967,16.824644549763033,0.0
200,0.8,50.0,0.0,DA-BALS-NoMargin,422,83.41232227488152,0.23696682464454977,16.350710900473935,0.0
200,0.8,50.0,0.0,DA-BALS-FixedMargin,422,78.67298578199052,0.0,21.32701421800948,0.0
200,0.8,50.0,0.0,DA-BALS-Adaptive,422,82.46445497630332,0.23696682464454977,17.298578199052134,0.0
200,0.8,50.0,0.0,DA-BALS-Stabilized,422,83.41232227488152,0.23696682464454977,16.350710900473935,0.0
200,0.8,50.0,0.5,DA-BALS-NoMargin,422,82.70142180094787,0.9478672985781991,16.350710900473935,0.0
200,0.8,50.0,0.5,DA-BALS-FixedMargin,422,78.19905213270142,0.47393364928909953,21.32701421800948,0.0
200,0.8,50.0,0.5,DA-BALS-Adaptive,422,80.56872037914692,0.47393364928909953,18.95734597156398,0.0
200,0.8,50.0,0.5,DA-BALS-Stabilized,422,82.70142180094787,0.9478672985781991,16.350710900473935,0.0
200,0.8,50.0,1.0,DA-BALS-NoMargin,422,80.33175355450237,3.3175355450236967,16.350710900473935,0.0
200,0.8,50.0,1.0,DA-BALS-FixedMargin,422,76.30331753554502,2.3696682464454977,21.32701421800948,0.0
200,0.8,50.0,1.0,DA-BALS-Adaptive,422,74.40758293838863,1.6587677725118484,23.933649289099527,0.0
200,0.8,50.0,1.0,DA-BALS-Stabilized,422,80.09478672985783,3.3175355450236967,16.587677725118482,0.0
200,1.0,0.0,0.0,DA-BALS-NoMargin,526,78.13688212927757,0.5703422053231939,21.292775665399237,0.0
200,1.0,0.0,0.0,DA-BALS-FixedMargin,526,75.2851711026616,0.0,24.714828897338403,0.0
200,1.0,0.0,0.0,DA-BALS-Adaptive,526,77.75665399239544,0.19011406844106463,22.0532319391635,0.0
200,1.0,0.0,0.0,DA-BALS-Stabilized,526,77.9467680608365,0.5703422053231939,21.482889733840306,0.0
200,1.0,0.0,0.5,DA-BALS-NoMargin,526,76.61596958174906,2.091254752851711,21.292775665399237,0.0
200,1.0,0.0,0.5,DA-BALS-FixedMargin,526,74.52471482889734,0.5703422053231939,24.904942965779465,0.0
200,1.0,0.0,0.5,DA-BALS-Adaptive,526,76.23574144486692,0.9505703422053232,22.813688212927758,0.0
200,1.0,0.0,0.5,DA-BALS-Stabilized,526,77.18631178707224,1.3307984790874523,21.482889733840306,0.0
200,1.0,0.0,1.0,DA-BALS-NoMargin,526,74.90494296577947,3.4220532319391634,21.673003802281368,0.0
200,1.0,0.0,1.0,DA-BALS-FixedMargin,526,73.19391634980988,1.7110266159695817,25.09505703422053,0.0
200,1.0,0.0,1.0,DA-BALS-Adaptive,526,73.19391634980988,0.9505703422053232,25.85551330798479,0.0
200,1.0,0.0,1.0,DA-BALS-Stabilized,526,76.04562737642586,2.091254752851711,21.863117870722434,0.0
200,1.0,10.0,0.0,DA-BALS-NoMargin,526,78.13688212927757,0.5703422053231939,21.292775665399237,0.0
200,1.0,10.0,0.0,DA-BALS-FixedMargin,526,75.2851711026616,0.0,24.714828897338403,0.0
200,1.0,10.0,0.0,DA-BALS-Adaptive,526,77.75665399239544,0.19011406844106463,22.0532319391635,0.0
200,1.0,10.0,0.0,DA-BALS-Stabilized,526,77.9467680608365,0.5703422053231939,21.482889733840306,0.0
200,1.0,10.0,0.5,DA-BALS-NoMargin,526,76.61596958174906,2.091254752851711,21.292775665399237,0.0
