load,tau_ms,cv,reduced_variant,pairs,mean_delta_pp,ci95_low_pp,ci95_high_pp,p_value,holm_p_value_global_162,holm_p_value_primary_3
0.6,50.0,0.0,DA-BALS-EWMA,30,0.06811538983141409,0.005939829616752185,0.130290950046076,0.03287706111379975,1.0,
0.6,50.0,0.0,DA-BALS-EWMA-Cap,30,0.06811538983141409,0.005939829616752185,0.130290950046076,0.03287706111379975,1.0,
0.6,50.0,0.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.6,50.0,0.5,DA-BALS-EWMA,30,0.032800221870368775,-0.016300935425117194,0.08190137916585474,0.18236498603517992,1.0,
0.6,50.0,0.5,DA-BALS-EWMA-Cap,30,0.032800221870368775,-0.016300935425117194,0.08190137916585474,0.18236498603517992,1.0,
0.6,50.0,0.5,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.6,50.0,1.0,DA-BALS-EWMA,30,0.15960662247524765,0.05105631787052199,0.2681569270799733,0.005401267595352974,0.8642028152564758,
0.6,50.0,1.0,DA-BALS-EWMA-Cap,30,0.15960662247524765,0.05105631787052199,0.2681569270799733,0.005401267595352974,0.8642028152564758,
0.6,50.0,1.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.8,0.0,0.0,DA-BALS-EWMA,30,-0.0014908180230762014,-0.04591905223710164,0.04293741619094924,0.9457559629595929,1.0,
0.8,0.0,0.0,DA-BALS-EWMA-Cap,30,-0.0014908180230762014,-0.04591905223710164,0.04293741619094924,0.9457559629595929,1.0,
0.8,0.0,0.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.8,0.0,0.5,DA-BALS-EWMA,30,0.09053070772518103,0.010808254467930087,0.17025316098243198,0.02742734659557244,1.0,
0.8,0.0,0.5,DA-BALS-EWMA-Cap,30,0.09053070772518103,0.010808254467930087,0.17025316098243198,0.02742734659557244,1.0,
0.8,0.0,0.5,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.8,0.0,1.0,DA-BALS-EWMA,30,0.10850821178674484,0.018107749816855923,0.19890867375663376,0.020329187492406562,1.0,
0.8,0.0,1.0,DA-BALS-EWMA-Cap,30,0.10850821178674484,0.018107749816855923,0.19890867375663376,0.020329187492406562,1.0,
0.8,0.0,1.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.8,10.0,0.0,DA-BALS-EWMA,30,-0.0014908180230762014,-0.04591905223710164,0.04293741619094924,0.9457559629595929,1.0,
0.8,10.0,0.0,DA-BALS-EWMA-Cap,30,-0.0014908180230762014,-0.04591905223710164,0.04293741619094924,0.9457559629595929,1.0,
0.8,10.0,0.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.8,10.0,0.5,DA-BALS-EWMA,30,0.06577863365857724,0.01192332888393248,0.119633938433222,0.018408741820327913,1.0,
0.8,10.0,0.5,DA-BALS-EWMA-Cap,30,0.06577863365857724,0.01192332888393248,0.119633938433222,0.018408741820327913,1.0,
0.8,10.0,0.5,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.8,10.0,1.0,DA-BALS-EWMA,30,0.08390997913365984,-0.02748697170819503,0.19530692997551471,0.13426269997216825,1.0,
0.8,10.0,1.0,DA-BALS-EWMA-Cap,30,0.08390997913365984,-0.02748697170819503,0.19530692997551471,0.13426269997216825,1.0,
0.8,10.0,1.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.8,50.0,0.0,DA-BALS-EWMA,30,-0.0014908180230762014,-0.04591905223710164,0.04293741619094924,0.9457559629595929,1.0,
0.8,50.0,0.0,DA-BALS-EWMA-Cap,30,-0.0014908180230762014,-0.04591905223710164,0.04293741619094924,0.9457559629595929,1.0,
0.8,50.0,0.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.8,50.0,0.5,DA-BALS-EWMA,30,0.06577863365857724,0.01192332888393248,0.119633938433222,0.018408741820327913,1.0,
0.8,50.0,0.5,DA-BALS-EWMA-Cap,30,0.06577863365857724,0.01192332888393248,0.119633938433222,0.018408741820327913,1.0,
0.8,50.0,0.5,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.8,50.0,1.0,DA-BALS-EWMA,30,0.16926470390305753,0.013459123493325814,0.3250702843127893,0.03425186251258512,1.0,
0.8,50.0,1.0,DA-BALS-EWMA-Cap,30,0.14481482615244612,0.012064438488340268,0.27756521381655197,0.03356985126130362,1.0,
0.8,50.0,1.0,DA-BALS-EWMA-Decay,30,0.016299918500407764,-0.017037157980973442,0.04963699498178897,0.3255819880161937,1.0,
1.0,0.0,0.0,DA-BALS-EWMA,30,0.046302289038556904,0.01439973783383347,0.07820484024328034,0.005949742821471695,0.9400593657925279,
1.0,0.0,0.0,DA-BALS-EWMA-Cap,30,0.046302289038556904,0.01439973783383347,0.07820484024328034,0.005949742821471695,0.9400593657925279,
1.0,0.0,0.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
1.0,0.0,0.5,DA-BALS-EWMA,30,0.012787485982680853,-0.035122641339072086,0.060697613304433795,0.5893210689486452,1.0,
1.0,0.0,0.5,DA-BALS-EWMA-Cap,30,0.012787485982680853,-0.035122641339072086,0.060697613304433795,0.5893210689486452,1.0,
1.0,0.0,0.5,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
1.0,0.0,1.0,DA-BALS-EWMA,30,-0.06171498618914531,-0.15761155608568814,0.03418158370739752,0.19840827394864008,1.0,
1.0,0.0,1.0,DA-BALS-EWMA-Cap,30,-0.06171498618914531,-0.15761155608568814,0.03418158370739752,0.19840827394864008,1.0,
1.0,0.0,1.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
1.0,10.0,0.0,DA-BALS-EWMA,30,0.046302289038556904,0.01439973783383347,0.07820484024328034,0.005949742821471695,0.9400593657925279,
1.0,10.0,0.0,DA-BALS-EWMA-Cap,30,0.046302289038556904,0.01439973783383347,0.07820484024328034,0.005949742821471695,0.9400593657925279,
1.0,10.0,0.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
1.0,10.0,0.5,DA-BALS-EWMA,30,0.012454610685756033,-0.03932553618638881,0.06423475755790087,0.6264676319508468,1.0,
1.0,10.0,0.5,DA-BALS-EWMA-Cap,30,0.012454610685756033,-0.03932553618638881,0.06423475755790087,0.6264676319508468,1.0,
1.0,10.0,0.5,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
1.0,10.0,1.0,DA-BALS-EWMA,30,-0.0027221106816166223,-0.13739200637841806,0.1319477850151848,0.9673076405434237,1.0,
1.0,10.0,1.0,DA-BALS-EWMA-Cap,30,-0.0027221106816166223,-0.13739200637841806,0.1319477850151848,0.9673076405434237,1.0,
1.0,10.0,1.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
1.0,50.0,0.0,DA-BALS-EWMA,30,0.046302289038556904,0.01439973783383347,0.07820484024328034,0.005949742821471695,0.9400593657925279,
1.0,50.0,0.0,DA-BALS-EWMA-Cap,30,0.046302289038556904,0.01439973783383347,0.07820484024328034,0.005949742821471695,0.9400593657925279,
1.0,50.0,0.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
1.0,50.0,0.5,DA-BALS-EWMA,30,0.012454610685756033,-0.03932553618638881,0.06423475755790087,0.6264676319508468,1.0,
1.0,50.0,0.5,DA-BALS-EWMA-Cap,30,0.012454610685756033,-0.03932553618638881,0.06423475755790087,0.6264676319508468,1.0,
