replicate,seed,policy,trace_start,trace_end,requests,on_time_fraction_pct,late_fraction_pct,shed_fraction_pct,normalized_network_waste
22,521,DA-BALS-FixedMargin,2023-11-16 18:41:05.6681530,2023-11-16 18:42:02.8874900,600,61.0,0.8333333333333334,38.166666666666664,0.0
22,521,DA-BALS-Adaptive,2023-11-16 18:41:05.6681530,2023-11-16 18:42:02.8874900,600,60.16666666666667,1.6666666666666667,38.166666666666664,0.0
22,521,DA-BALS-Stabilized,2023-11-16 18:41:05.6681530,2023-11-16 18:42:02.8874900,600,61.5,2.166666666666667,36.333333333333336,0.0
23,522,DA-BALS-NoMargin,2023-11-16 18:42:03.0206530,2023-11-16 18:43:18.2635650,600,68.33333333333333,4.333333333333334,27.333333333333332,0.0
23,522,DA-BALS-FixedMargin,2023-11-16 18:42:03.0206530,2023-11-16 18:43:18.2635650,600,67.16666666666666,2.666666666666667,30.166666666666668,0.0
23,522,DA-BALS-Adaptive,2023-11-16 18:42:03.0206530,2023-11-16 18:43:18.2635650,600,58.166666666666664,1.8333333333333333,40.0,0.0
23,522,DA-BALS-Stabilized,2023-11-16 18:42:03.0206530,2023-11-16 18:43:18.2635650,600,67.66666666666666,4.166666666666666,28.166666666666668,0.0
24,523,DA-BALS-NoMargin,2023-11-16 18:43:18.3075230,2023-11-16 18:44:13.3183010,600,63.83333333333333,1.6666666666666667,34.5,0.0
24,523,DA-BALS-FixedMargin,2023-11-16 18:43:18.3075230,2023-11-16 18:44:13.3183010,600,63.66666666666667,0.6666666666666667,35.66666666666667,0.0
24,523,DA-BALS-Adaptive,2023-11-16 18:43:18.3075230,2023-11-16 18:44:13.3183010,600,63.5,1.0,35.5,0.0
24,523,DA-BALS-Stabilized,2023-11-16 18:43:18.3075230,2023-11-16 18:44:13.3183010,600,64.33333333333333,1.1666666666666667,34.5,0.0
25,524,DA-BALS-NoMargin,2023-11-16 18:44:13.3721730,2023-11-16 18:45:12.4586780,600,66.83333333333333,2.833333333333333,30.333333333333336,0.0
25,524,DA-BALS-FixedMargin,2023-11-16 18:44:13.3721730,2023-11-16 18:45:12.4586780,600,66.0,1.0,33.0,0.0
25,524,DA-BALS-Adaptive,2023-11-16 18:44:13.3721730,2023-11-16 18:45:12.4586780,600,59.5,1.0,39.5,0.0
25,524,DA-BALS-Stabilized,2023-11-16 18:44:13.3721730,2023-11-16 18:45:12.4586780,600,66.5,2.166666666666667,31.333333333333336,0.0
26,525,DA-BALS-NoMargin,2023-11-16 18:45:12.6164770,2023-11-16 18:45:59.6623910,600,62.66666666666667,4.0,33.33333333333333,0.0
26,525,DA-BALS-FixedMargin,2023-11-16 18:45:12.6164770,2023-11-16 18:45:59.6623910,600,62.5,1.6666666666666667,35.833333333333336,0.0
26,525,DA-BALS-Adaptive,2023-11-16 18:45:12.6164770,2023-11-16 18:45:59.6623910,600,61.5,2.0,36.5,0.0
26,525,DA-BALS-Stabilized,2023-11-16 18:45:12.6164770,2023-11-16 18:45:59.6623910,600,64.16666666666667,2.166666666666667,33.666666666666664,0.0
27,526,DA-BALS-NoMargin,2023-11-16 18:45:59.6699260,2023-11-16 18:46:43.4611020,600,61.16666666666667,4.5,34.333333333333336,0.0
27,526,DA-BALS-FixedMargin,2023-11-16 18:45:59.6699260,2023-11-16 18:46:43.4611020,600,60.83333333333333,1.8333333333333333,37.333333333333336,0.0
27,526,DA-BALS-Adaptive,2023-11-16 18:45:59.6699260,2023-11-16 18:46:43.4611020,600,60.333333333333336,1.6666666666666667,38.0,0.0
